Number of vertices: 15
Start vertex:       13

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14
-------------------------------------------------------------------------------
  0 |    0    0    9   27    0    0    0    0    0    0    0    0    0    0    0
  1 |    0    0    0    0    0   33    0    0    0    0    0    0    0    0    0
  2 |   66    0    0    0   71    0    0    0    1    0    0    0    0   57   97
  3 |    0    0    0    0    0    0    0    0    0    0    0   86    0    0    0
  4 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  5 |    0    0    0   25    0    0    0    0   29    0    0    0    0    0    0
  6 |    0    0    0    0    0    0    0    0   43    0    0    0    0    0    0
  7 |    0    0    0    0    0   94    0    0    0    0    0    0   89    0    0
  8 |    0   17    0    0    0   99    0    0    0    0    0   58    0    0   73
  9 |    0    0    0    0    0    0    5    0    0    0    0    0    0    0   39
 10 |    0   93    0   50    0    0    0   39    0    0    0    0   41    0    0
 11 |    0   24    0    0    0    0   19    0    0    0    0    0    0    0    0
 12 |    0    0    0    0    0    0    0    0    0    0   99    0    0    0    0
 13 |    0    0    4    1    0    0   40    0    0    0    0    0    0    0   80
 14 |    0    0    0    0    0    0   56    0    0    0    0    0    0    0    0
